Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.000	2000	19.5	50.04	10.48	0.979	48.98	10.26	1.016	0.70	22.45	3.0994	295.76	0.00	0.00	0.00	0.00	0	0	0	0	-0.077181	55.20	55.50	13.88	14.00	14.04	6.87	20.55	56.0	109.4	105.5	106.05	0.772	1.52	96.0		200		5.58	15.0	27.3	45.91	1030.4	51.9	1.07	0.82	0.039	0.038	16.1	39.1	28.00	0.010909	0.003157	441.3	451.5		0.00	3.143	25.1	-0.006902	100.00	100.00	21:34:26	2019-10-14					-0.001618	-0.001221	-0.00366		53.46		316.00	
2.000	1000	100.0	187.08	19.59	0.984	184.06	19.27	1.006	2.55	-3.94	5.2943	270.28	0.00	0.00	0.00	0.00	0	0	0	0	0.000885	43.27	43.52	23.78	23.94	13.95	52.23	99.90	60.4	102.8	98.1	96.00	0.720	1.61	88.9		200		5.57	15.0	28.7	79.37	1030.4	52.5	1.18	1.25	0.150	0.154	16.6	47.1	21.00	0.030450	0.019000	531.8	564.0		0.00	11.750	25.8	-0.004219	0.00	0.00	21:36:25	2019-10-14					-0.001618	-0.001145	-0.00366		42.40		316.03	
3.000	1400	100.0	253.03	37.09	0.979	247.78	36.33	0.998	3.20	-1.96	9.5593	257.71	0.00	0.00	0.00	0.00	0	0	0	0	0.000204	37.68	38.00	22.85	23.00	13.95	59.44	99.90	60.4	100.1	95.9	92.00	0.658	1.81	95.3		200		5.55	15.0	27.6	142.72	1030.4	50.4	1.44	1.60	0.409	0.418	18.6	71.7	21.00	0.052993	0.018321	634.3	667.2		0.00	15.893	25.5	-0.003012	0.00	0.00	21:38:25	2019-10-14					-0.001618	-0.001099	-0.00366		39.61		316.06	
4.000	1500	100.0	265.98	41.78	0.976	259.68	40.79	0.996	3.41	-2.39	10.8418	259.53	0.00	0.00	0.00	0.00	0	0	0	0	-0.001979	36.11	36.54	22.39	22.63	13.97	60.83	99.90	60.4	98.5	94.6	90.00	0.563	1.98	96.0		200		5.55	15.0	26.0	165.56	1030.4	55.6	1.54	1.73	0.507	0.516	21.0	84.5	22.00	0.061600	0.021979	670.3	706.5		0.00	16.707	25.4	-0.003948	0.00	0.00	21:40:25	2019-10-14					-0.001618	-0.001011	-0.00488		38.04		316.10	
5.000	1600	100.0	280.39	46.98	0.976	273.58	45.84	0.998	3.52	-1.60	11.9411	254.15	0.00	0.00	0.00	0.00	0	0	0	0	-0.002426	33.71	33.96	21.26	21.50	13.94	63.40	99.90	60.4	98.4	94.6	90.00	0.506	2.15	96.4		200		5.54	15.0	26.3	182.07	1030.5	52.0	1.62	1.79	0.583	0.592	23.5	93.5	24.00	0.067041	0.026124	684.6	720.3		0.10	17.614	25.7	-0.002871	0.00	0.00	21:42:25	2019-10-14					-0.001618	-0.000977	-0.00487		38.10		316.13	
6.000	1700	100.0	294.90	52.50	0.978	288.33	51.33	0.998	3.68	-1.07	13.1363	250.21	0.00	0.00	0.00	0.00	0	0	0	0	-0.004299	30.93	31.00	20.38	20.46	13.93	65.97	99.90	60.4	99.1	95.3	90.00	0.499	2.28	97.3		200		5.54	15.0	26.9	197.20	1030.5	52.1	1.70	1.84	0.664	0.675	26.5	102.5	26.44	0.075102	0.031344	695.8	728.7		0.00	18.526	25.3	-0.001954	0.00	0.00	21:44:25	2019-10-14					-0.001618	-0.000867	-0.00484		38.74		316.16	
7.000	1800	100.0	326.00	61.45	0.979	319.16	60.16	0.999	4.09	-2.28	15.5571	253.16	0.00	-0.05	0.00	0.00	0	0	0	0	-0.007155	28.85	29.00	18.82	18.90	13.92	68.45	99.90	60.6	99.6	95.8	90.00	0.510	2.37	98.3		200		5.53	15.0	27.5	232.05	1030.6	51.3	1.93	1.93	0.886	0.900	30.6	121.4	29.61	0.097977	0.045870	721.2	753.2		0.15	20.478	26.1	-0.001768	0.00	0.00	21:46:25	2019-10-14					-0.001618	-0.000854	-0.00478		39.04		316.20	
8.000	2000	100.0	328.10	68.72	0.980	321.45	67.33	1.000	4.08	-1.12	17.2195	250.57	0.00	0.00	0.00	0.00	0	0	0	0	-0.012269	25.56	25.78	14.73	14.82	13.98	73.61	99.90	60.5	99.1	95.6	90.00	0.519	2.63	98.7		200		5.52	15.0	27.8	253.55	1030.6	50.3	1.92	1.92	0.882	0.897	27.2	122.8	27.93	0.109188	0.056865	742.3	769.4		0.05	20.609	26.3	0.000250	0.00	0.00	21:48:25	2019-10-14					-0.001618	-0.000847	-0.00462		38.63		316.23	
9.000	2500	100.0	328.23	85.93	0.977	320.85	84.00	0.997	4.00	0.75	21.5671	250.98	0.00	0.00	0.00	0.00	0	0	0	0	-0.022746	23.75	24.00	11.80	12.00	13.96	76.97	99.90	60.8	97.5	94.5	88.39	0.518	3.33	99.8		200		5.50	15.0	26.7	316.20	1030.6	53.6	1.91	1.91	0.875	0.897	30.7	120.0	30.34	0.161465	0.091439	780.1	806.3		0.29	20.618	25.9	0.001431	0.00	0.00	21:50:25	2019-10-14					-0.001618	-0.000732	-0.00466		36.76		316.26	
