Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.000	2000	19.9	49.99	10.47	1.007	50.32	10.54	1.016	0.70	22.12	3.2161	307.15	0.00	0.00	0.00	0.00	0	0	0	0	-0.079565	55.33	55.50	13.80	14.00	14.06	7.03	21.16	36.2	109.3	105.6	106.31	0.788	1.52	90.2		200		5.58	15.0	29.0	47.46	1012.1	52.4	1.06	0.81	0.041	0.041	27.7	35.2	33.62	0.009620	0.002981	434.4	451.5		0.00	3.140	23.5	0.001838	100.00	100.00	11:52:29	2019-10-03					0.000114	-0.000732	-0.00366		73.06		0.05	
2.000	1000	100.0	189.81	19.88	0.998	189.48	19.84	1.005	2.60	-3.84	5.3796	270.66	0.00	0.00	0.00	0.00	0	0	0	0	0.000194	43.32	43.50	23.80	23.96	13.97	52.26	99.90	43.3	103.7	99.2	97.23	0.815	1.61	88.4		200		5.57	15.0	26.9	79.23	1012.1	49.6	1.19	1.26	0.178	0.182	28.4	48.7	29.00	0.028701	0.018188	526.2	583.6		0.30	11.922	23.6	0.005495	0.00	0.00	11:55:20	2019-10-03					-0.000373	-0.000701	-0.00366		60.33		0.10	
3.000	1200	100.0	220.98	27.77	1.007	222.43	27.95	1.001	2.89	-2.02	7.1993	259.23	0.00	-0.12	-0.12	0.00	0	0	0	0	0.000541	39.74	40.00	21.37	21.58	13.99	56.76	99.90	51.4	102.1	98.2	94.60	0.811	2.69	93.8		200		5.57	15.0	28.9	104.54	1012.0	52.8	1.30	1.40	0.284	0.296	29.4	60.6	30.00	0.048373	0.017829	571.2	629.1		0.00	13.881	24.2	0.006790	0.00	0.00	11:58:12	2019-10-03					-0.000373	-0.000731	-0.00366		50.73		0.14	
4.000	1400	100.0	267.83	39.27	0.998	267.45	39.21	0.995	3.50	-3.01	10.3541	263.68	0.00	0.00	0.00	0.00	0	0	0	0	-0.001948	37.74	38.00	23.20	23.00	13.98	59.44	99.90	60.2	99.2	95.6	90.53	0.824	1.83	97.4		200		5.55	15.0	26.9	151.90	1012.0	49.2	1.54	1.64	0.522	0.532	26.7	83.9	28.55	0.057927	0.021865	633.9	695.4		0.24	16.826	24.1	0.010146	0.00	0.00	12:01:04	2019-10-03					-0.000373	-0.000610	-0.00366		38.98		0.19	
5.000	1500	100.0	289.73	45.50	1.007	291.57	45.80	0.994	3.80	-3.13	12.1350	266.71	0.00	0.00	0.00	0.00	0	0	0	0	-0.004088	36.66	36.54	22.66	22.59	13.98	60.84	99.90	60.4	99.1	95.8	90.00	0.813	1.95	98.4		200		5.55	15.0	28.9	183.36	1012.0	52.7	1.70	1.80	0.683	0.694	30.1	102.9	30.35	0.068546	0.027955	674.7	732.8		0.00	18.195	24.6	0.010175	0.00	0.00	12:03:55	2019-10-03					-0.000373	-0.000722	-0.00437		38.72		0.24	
6.000	1600	100.0	322.16	53.98	0.998	321.58	53.88	0.997	4.14	-3.60	14.0739	260.73	0.00	-0.12	0.00	0.00	0	0	0	0	-0.006008	34.27	33.88	21.27	21.50	13.96	63.42	99.90	60.4	100.2	96.7	90.71	0.820	2.06	99.6		200		5.54	15.0	26.8	212.21	1011.9	49.6	1.87	1.87	0.847	0.858	26.9	119.1	28.22	0.079191	0.035765	689.4	742.1		0.14	20.236	24.7	0.015111	0.00	0.00	12:06:47	2019-10-03					-0.000373	-0.000610	-0.00366		39.85		0.29	
7.000	1800	100.0	332.81	62.74	0.998	332.32	62.64	1.001	4.17	-2.77	15.8987	253.42	-0.23	-0.14	-0.21	0.00	0	0	0	0	-0.008426	28.65	29.00	18.80	18.97	13.96	68.45	99.90	60.7	99.7	96.4	90.00	0.829	2.36	100.2		200		5.53	15.0	26.9	233.73	1011.9	49.1	1.94	1.94	0.923	0.933	30.6	124.9	30.93	0.096032	0.047871	706.2	749.8		0.00	20.906	24.7	0.014099	0.00	0.00	12:09:39	2019-10-03					-0.000373	-0.000712	-0.00366		39.03		0.34	
8.000	2000	100.0	332.36	69.60	0.999	331.99	69.53	1.003	4.10	-1.19	17.3199	248.83	0.00	-0.10	-0.04	0.00	0	0	0	0	-0.011832	25.74	25.83	14.85	14.88	13.96	71.74	99.90	60.2	98.6	95.4	89.00	0.813	2.70	100.2		200		5.53	15.0	27.1	253.47	1011.9	48.6	1.93	1.93	0.912	0.926	30.2	122.3	30.37	0.105602	0.058281	722.7	760.7		0.00	20.874	25.1	0.015635	0.00	0.00	12:12:31	2019-10-03					-0.000373	-0.000731	-0.00366		38.41		0.38	
9.000	2250	100.0	332.03	78.22	0.998	331.40	78.08	1.000	4.00	-0.04	19.5177	249.54	0.00	0.00	0.00	0.00	0	0	0	0	-0.015956	24.49	24.72	13.19	13.31	13.95	71.73	99.90	60.3	98.8	95.7	89.58	0.827	3.04	101.1		200		5.52	15.0	26.8	283.83	1011.9	49.6	1.91	1.90	0.889	0.906	27.9	118.3	28.56	0.134102	0.074852	750.5	782.1		0.00	20.852	25.1	0.017405	0.00	0.00	12:15:23	2019-10-03					-0.000457	-0.000672	-0.00366		38.53		0.43	
10.000	2500	100.0	335.04	87.73	0.999	334.67	87.62	1.000	4.02	0.75	21.7653	248.08	0.00	0.00	0.00	0.00	0	0	0	0	-0.022044	23.79	24.00	11.84	12.00	13.87	71.75	99.90	60.3	96.6	93.8	87.00	0.801	3.42	100.8		200		5.51	15.0	27.0	316.53	1011.9	48.9	1.91	1.91	0.889	0.911	28.2	118.2	28.95	0.157872	0.092229	765.2	797.4		0.00	21.049	25.3	0.019273	0.00	0.00	12:18:15	2019-10-03					-0.000665	-0.000732	-0.00366		36.24		0.48	
11.000	2750	100.0	335.31	96.57	0.999	334.87	96.43	0.999	4.00	2.41	23.7520	245.92	0.00	0.00	-0.04	0.00	0	0	0	0	-0.027920	23.80	24.00	11.77	12.00	13.82	71.74	99.90	60.2	95.6	93.0	86.00	0.787	3.77	100.9		200		5.50	15.0	26.9	348.31	1011.8	49.6	1.90	1.90	0.883	0.910	31.3	117.5	31.36	0.179802	0.110862	772.8	808.1		0.00	21.065	25.7	0.021532	0.00	0.00	12:21:06	2019-10-03					-0.001241	-0.000732	-0.00366		35.40		0.53	
12.000	3000	100.0	335.30	105.33	0.999	335.08	105.27	0.997	4.00	3.75	25.7950	244.90	0.00	0.00	0.00	0.00	0	0	0	0	-0.034317	23.40	23.73	11.77	12.00	13.82	74.71	99.90	60.3	93.4	90.9	84.18	0.755	4.05	100.0		200		5.49	15.0	27.2	381.32	1011.8	48.7	1.89	1.89	0.877	0.908	31.1	117.8	31.09	0.205407	0.130102	785.9	823.6		0.00	21.060	26.0	0.022973	0.00	0.00	12:23:58	2019-10-03					-0.001616	-0.000610	-0.00367		33.13		0.57	
13.000	3250	100.0	337.56	114.89	0.999	337.13	114.74	0.996	4.10	2.25	28.8873	251.44	0.00	0.00	0.00	0.00	0	0	0	0	-0.046262	22.54	22.84	11.84	12.00	13.85	76.77	99.90	60.3	93.7	91.3	85.00	0.763	3.94	100.4		200		5.48	15.0	26.9	420.56	1011.7	49.2	1.92	1.92	0.902	0.941	27.9	121.2	28.93	0.240025	0.158847	819.5	848.9		0.00	21.203	26.3	0.023916	0.00	0.00	12:26:50	2019-10-03					-0.001464	-0.000610	-0.00444		33.44		0.62	
14.000	3500	100.0	332.99	122.05	0.998	332.45	121.85	0.996	3.90	4.24	29.8417	244.53	0.00	0.00	0.00	0.00	0	0	0	0	-0.050720	23.02	23.19	18.85	19.00	13.83	79.23	99.90	60.5	92.5	90.1	83.82	0.748	3.96	100.0		200		5.47	15.0	26.8	442.87	1011.7	49.7	1.93	1.92	0.904	0.947	29.3	121.5	30.24	0.248203	0.166463	814.1	838.9		0.00	20.916	26.5	0.019785	0.00	0.00	12:29:42	2019-10-03					-0.000373	-0.000732	-0.00488		31.98		0.67	
