AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.000	2000	19.5	50.04	10.48	0.979	48.98	10.26	3.143	295.76	3.0994	15.0	5.58	56.0	109.4	53.46	0.772	96.0	1.52	-0.0203	51.9	27.3	-0.006902	25.1	1030.4	0.00	-0.077181	441.3	451.5	**	**	-10.29	0.010909	0.003157	-0.001618	-0.001221	0	39.1	16.1	0.038	0.039	1.016			2000.4	20.55	6.87	22.45	0.70	0.00	0.00	0.00	0.00	0	0	0	0	106.05	28.00	45.91	14.04	200	**	4.08	0.00	0.00	55.20	55.50	13.88	14.00	**	**	0.82	1.07	100.00	100.00	1.01	**	**			**	**	**	-0.00366	**	316.00	21:34:26	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	16043		105.5	**	34.3	**	42.68	43.30	1137617.1	
2.000	1000	100.0	187.08	19.59	0.984	184.06	19.27	11.750	270.28	5.2943	15.0	5.57	60.4	102.8	42.40	0.720	88.9	1.61	-0.0172	52.5	28.7	-0.004219	25.8	1030.4	0.00	0.000885	531.8	564.0	**	**	-32.18	0.030450	0.019000	-0.001618	-0.001145	0	47.1	16.6	0.154	0.150	1.006			999.0	99.90	52.23	-3.94	2.55	0.00	0.00	0.00	0.00	0	0	0	0	96.00	21.00	79.37	13.95	200	**	6.50	0.00	0.00	43.27	43.52	23.78	23.94	**	**	1.25	1.18	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	316.03	21:36:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	8035		98.1	**	33.8	**	42.44	43.03	1137736.5	
3.000	1400	100.0	253.03	37.09	0.979	247.78	36.33	15.893	257.71	9.5593	15.0	5.55	60.4	100.1	39.61	0.658	95.3	1.81	-0.0180	50.4	27.6	-0.003012	25.5	1030.4	0.00	0.000204	634.3	667.2	**	**	-32.91	0.052993	0.018321	-0.001618	-0.001099	0	71.7	18.6	0.418	0.409	0.998			1400.6	99.90	59.44	-1.96	3.20	0.00	0.00	0.00	0.00	0	0	0	0	92.00	21.00	142.72	13.95	200	**	11.05	0.00	0.00	37.68	38.00	22.85	23.00	**	**	1.60	1.44	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	316.06	21:38:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	11251		95.9	**	33.2	**	42.29	42.85	1137856.5	
4.000	1500	100.0	265.98	41.78	0.976	259.68	40.79	16.707	259.53	10.8418	15.0	5.55	60.4	98.5	38.04	0.563	96.0	1.98	-0.0183	55.6	26.0	-0.003948	25.4	1030.4	0.00	-0.001979	670.3	706.5	**	**	-36.20	0.061600	0.021979	-0.001618	-0.001011	0	84.5	21.0	0.516	0.507	0.996			1503.0	99.90	60.83	-2.39	3.41	0.00	0.00	0.00	0.00	0	0	0	0	90.00	22.00	165.56	13.97	200	**	13.65	0.00	0.00	36.11	36.54	22.39	22.63	**	**	1.73	1.54	0.00	0.00	0.99	**	**			**	**	**	-0.00488	**	316.10	21:40:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	12109		94.6	**	32.6	**	42.12	42.65	1137976.5	
5.000	1600	100.0	280.39	46.98	0.976	273.58	45.84	17.614	254.15	11.9411	15.0	5.54	60.4	98.4	38.10	0.506	96.4	2.15	-0.0164	52.0	26.3	-0.002871	25.7	1030.5	0.10	-0.002426	684.6	720.3	**	**	-35.69	0.067041	0.026124	-0.001618	-0.000977	0	93.5	23.5	0.592	0.583	0.998			1604.9	99.90	63.40	-1.60	3.52	0.00	0.00	0.00	0.00	0	0	0	0	90.00	24.00	182.07	13.94	200	**	15.33	0.00	0.00	33.71	33.96	21.26	21.50	**	**	1.79	1.62	0.00	0.00	0.99	**	**			**	**	**	-0.00487	**	316.13	21:42:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	12862		94.6	**	32.3	**	41.94	42.46	1138096.5	
6.000	1700	100.0	294.90	52.50	0.978	288.33	51.33	18.526	250.21	13.1363	15.0	5.54	60.4	99.1	38.74	0.499	97.3	2.28	-0.0166	52.1	26.9	-0.001954	25.3	1030.5	0.00	-0.004299	695.8	728.7	**	**	-32.87	0.075102	0.031344	-0.001618	-0.000867	0	102.5	26.5	0.675	0.664	0.998			1703.2	99.90	65.97	-1.07	3.68	0.00	0.00	0.00	0.00	0	0	0	0	90.00	26.44	197.20	13.93	200	**	16.91	0.00	0.00	30.93	31.00	20.38	20.46	**	**	1.84	1.70	0.00	0.00	0.99	**	**			**	**	**	-0.00484	**	316.16	21:44:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	13717		95.3	**	32.3	**	41.76	42.27	1138216.5	
7.000	1800	100.0	326.00	61.45	0.979	319.16	60.16	20.478	253.16	15.5571	15.0	5.53	60.6	99.6	39.04	0.510	98.3	2.37	-0.0147	51.3	27.5	-0.001768	26.1	1030.6	0.15	-0.007155	721.2	753.2	**	**	-31.97	0.097977	0.045870	-0.001618	-0.000854	0	121.4	30.6	0.900	0.886	0.999			1800.0	99.90	68.45	-2.28	4.09	0.00	-0.05	0.00	0.00	0	0	0	0	90.00	29.61	232.05	13.92	200	**	19.43	0.00	0.00	28.85	29.00	18.82	18.90	**	**	1.93	1.93	0.00	0.00	0.99	**	**			**	**	**	-0.00478	**	316.20	21:46:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	14429		95.8	**	32.2	**	41.51	42.07	1138336.5	
8.000	2000	100.0	328.10	68.72	0.980	321.45	67.33	20.609	250.57	17.2195	15.0	5.52	60.5	99.1	38.63	0.519	98.7	2.63	-0.0134	50.3	27.8	0.000250	26.3	1030.6	0.05	-0.012269	742.3	769.4	**	**	-27.08	0.109188	0.056865	-0.001618	-0.000847	0	122.8	27.2	0.897	0.882	1.000			1999.4	99.90	73.61	-1.12	4.08	0.00	0.00	0.00	0.00	0	0	0	0	90.00	27.93	253.55	13.98	200	**	21.86	0.00	0.00	25.56	25.78	14.73	14.82	**	**	1.92	1.92	0.00	0.00	1.00	**	**			**	**	**	-0.00462	**	316.23	21:48:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	16042		95.6	**	32.3	**	41.31	41.94	1138456.5	
9.000	2500	100.0	328.23	85.93	0.977	320.85	84.00	20.618	250.98	21.5671	15.0	5.50	60.8	97.5	36.76	0.518	99.8	3.33	-0.0135	53.6	26.7	0.001431	25.9	1030.6	0.29	-0.022746	780.1	806.3	**	**	-26.22	0.161465	0.091439	-0.001618	-0.000732	0	120.0	30.7	0.897	0.875	0.997			2501.0	99.90	76.97	0.75	4.00	0.00	0.00	0.00	0.00	0	0	0	0	88.39	30.34	316.20	13.96	200	**	26.35	0.00	0.00	23.75	24.00	11.80	12.00	**	**	1.91	1.91	0.00	0.00	1.00	**	**			**	**	**	-0.00466	**	316.26	21:50:25	2019-10-14	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	20121		94.5	**	32.7	**	41.09	41.80	1138576.5	
