Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
	rpm	%	Nm	kW	-	Nm	kW	-	ms	degree	kg/h	g/kW.h	degree	degree	degree	degree	-	-	-	-	bar	degree	degree	degree	degree	V	%	%	Cel	Cel	Cel	Cel	bar	bar	Cel		-		bar	Cel	Cel	kg/h	mbar	%	mbar	mbar	bar	bar	Cel	Cel	Cel	bar	bar	Cel	Cel		l/min	bar	Cel	bar	%	%	hhmmss	yyyymmdd					bar	bar	bar		Cel		s	
1.000	2000	19.5	50.01	10.47	0.985	49.24	10.31	1.017	0.70	22.54	3.1613	301.95	0.00	0.00	0.00	0.00	0	0	0	0	-0.024643	55.32	55.50	13.84	14.00	14.09	7.10	20.54	59.8	110.5	106.8	107.00	0.995	1.53	97.7		200		5.59	15.0	27.2	46.00	1023.2	46.7	1.03	0.82	0.002	0.002	20.9	35.4	29.10	0.011015	0.004064	466.1	562.6		0.10	3.141	23.8	-0.006510	100.00	100.00	21:12:45	2019-10-08					-0.001060	-0.000977	-0.00366		50.72		0.02	
2.000	1000	100.0	194.40	20.36	0.992	192.85	20.19	1.003	2.64	-4.29	5.5229	271.39	0.00	0.00	0.00	0.00	0	0	0	0	-0.025742	43.33	43.50	24.11	23.91	13.99	52.45	99.90	59.6	103.2	99.1	96.00	0.931	1.61	91.7		200		5.58	15.0	28.8	81.32	1023.2	51.6	1.21	1.26	0.183	0.187	21.5	47.5	24.00	0.030100	0.018629	535.1	591.0		0.05	12.210	23.4	-0.008981	0.00	0.00	21:14:44	2019-10-08					-0.001149	-0.000977	-0.00366		43.56		0.06	
3.000	1400	100.0	271.34	39.78	0.984	267.03	39.15	0.994	3.60	-3.74	10.6349	267.35	0.00	0.00	0.00	0.00	0	0	0	0	-0.023323	38.19	38.00	22.86	23.00	14.00	59.44	99.90	60.6	99.6	96.2	91.00	0.880	1.79	97.3		200		5.56	15.0	26.9	157.02	1023.2	47.4	1.57	1.63	0.544	0.553	23.7	81.5	25.00	0.059267	0.020985	643.2	694.4		0.10	17.043	24.5	-0.004454	0.00	0.00	21:16:44	2019-10-08					-0.001115	-0.000905	-0.00366		39.06		0.09	
4.000	1500	100.0	292.69	45.99	0.984	288.02	45.24	0.993	3.85	-3.25	12.2684	266.79	0.00	0.00	0.00	0.00	0	0	0	0	-0.024569	36.25	36.52	22.50	22.58	13.98	60.86	99.90	60.3	100.4	96.8	91.73	0.810	1.92	98.4		200		5.55	15.0	26.8	185.31	1023.2	47.2	1.71	1.79	0.684	0.695	26.7	97.2	27.22	0.069089	0.025901	680.9	729.2		0.05	18.389	23.2	-0.006607	0.00	0.00	21:18:44	2019-10-08					-0.001157	-0.000854	-0.00366		40.11		0.12	
5.000	1600	100.0	320.10	53.63	0.992	317.53	53.20	0.996	4.11	-3.58	14.0176	261.42	0.00	-0.18	-0.08	0.00	0	0	0	0	-0.022832	33.92	33.99	21.53	21.50	14.02	63.42	99.90	60.7	99.3	95.9	89.97	0.764	2.06	98.9		200		5.54	15.0	29.0	212.04	1023.3	50.3	1.87	1.87	0.841	0.852	30.2	113.7	30.08	0.081348	0.033306	696.3	742.7		0.05	20.104	24.2	-0.005371	0.00	0.00	21:20:44	2019-10-08					-0.001142	-0.000854	-0.00366		38.62		0.16	
6.000	1700	100.0	325.09	57.88	0.984	319.96	56.96	0.999	4.10	-2.34	14.8053	255.78	-0.01	-0.12	-0.06	0.00	0	0	0	0	-0.020907	30.77	31.00	20.74	20.46	14.02	65.95	99.90	60.6	99.2	95.8	89.51	0.751	2.20	99.7		200		5.54	15.0	27.0	219.62	1023.2	46.4	1.88	1.88	0.852	0.863	27.4	117.0	28.61	0.085943	0.037633	703.2	747.3		0.00	20.423	24.3	-0.002172	0.00	0.00	21:22:44	2019-10-08					-0.001231	-0.000854	-0.00366		38.54		0.19	
7.000	1800	100.0	330.72	62.35	0.984	325.50	61.35	1.001	4.14	-2.37	15.8366	254.03	0.00	0.00	0.00	0.00	0	0	0	0	-0.021955	28.92	29.00	18.71	18.80	13.99	68.47	99.90	60.2	99.0	95.8	89.00	0.744	2.35	99.8		200		5.54	15.0	27.0	232.88	1023.2	46.5	1.93	1.93	0.903	0.916	29.4	119.6	29.62	0.088939	0.042647	715.1	754.1		0.00	20.777	23.8	-0.004447	0.00	0.00	21:24:44	2019-10-08					-0.001261	-0.000854	-0.00366		38.74		0.22	
8.000	2000	100.0	330.78	69.28	0.992	328.30	68.76	1.001	4.10	-1.14	17.3762	250.81	0.00	0.00	0.00	0.00	0	0	0	0	-0.019550	25.52	25.75	14.71	14.85	14.01	71.80	99.90	60.2	99.7	96.6	90.25	0.769	2.66	100.3		200		5.53	15.0	29.1	253.84	1023.3	49.8	1.93	1.93	0.901	0.915	29.4	119.6	29.91	0.106289	0.056528	733.5	767.0		0.00	20.779	24.7	-0.002563	0.00	0.00	21:26:44	2019-10-08					-0.001435	-0.000854	-0.00366		39.53		0.26	
9.000	2500	100.0	331.74	86.84	0.985	326.60	85.50	0.999	4.02	0.75	21.8175	251.23	0.00	0.00	0.00	0.00	0	0	0	0	-0.016360	23.85	24.00	11.76	12.00	13.94	71.80	99.90	61.0	96.9	94.5	87.52	0.765	3.40	101.1		200		5.50	15.0	27.3	316.00	1023.3	45.7	1.91	1.91	0.881	0.903	29.6	116.5	29.73	0.159203	0.091111	773.0	803.0		0.00	20.836	25.3	0.003445	0.00	0.00	21:28:44	2019-10-08					-0.001589	-0.000780	-0.00366		35.97		0.29	
