Ê±¼ä	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	LAMBDA	InjTim	zwout	FUELCOSP	BH	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	P_CRANK	InCamA	InCamC	ExCamA	ExCamC	ECU_u	ThrPos	wped	TWI	TWO	TWO2	tmot	P_AGB	P_OILOF	T_OIL	T_OILOF	prist	pristD	P_FUEL	T_FUEL	T_INTAKE	AirFlow	P_AIR	PHI	BoostD	BoostP	PLLKN	PLLKV	TLLKN	TLLKV	tans	P_EXH_1	P_EXH_2	T_EXH_1	T_EXH_2	OPF_Mass	BLOWBY	P_EFF_ME	T_AIR	P_INTAKE	FlapPosA	FlapPosD	TIME	DATE	T_EXH_3	T_EXH_4	T_EXH_5	T_EXH_6	P_EXH_3	P_EXH_4	P_EXH_5	P_EXH_6	TWD	prist_A	RunningTime	
10.000	3000	100.0	332.79	104.55	0.984	327.62	102.93	0.996	4.00	3.75	25.8865	247.59	0.00	0.00	0.00	0.00	0	0	0	0	-0.014995	23.48	23.76	11.86	12.00	13.90	74.97	99.90	61.0	93.8	91.3	84.87	0.724	4.03	100.0		200		5.48	15.0	27.3	381.46	1023.3	45.4	1.89	1.89	0.861	0.890	29.6	115.3	30.16	0.204366	0.130458	797.6	831.9		0.00	20.904	25.3	0.005073	0.00	0.00	21:30:44	2019-10-08					-0.001618	-0.000732	-0.00366		32.75		0.32	
11.000	3500	100.0	329.80	120.88	0.984	324.63	118.98	0.996	3.90	4.25	29.8526	246.98	0.00	0.00	0.00	0.00	0	0	0	0	-0.014802	23.09	23.30	18.87	19.00	13.89	78.82	99.90	60.9	92.1	89.9	83.71	0.703	3.94	99.6		200		5.46	15.0	27.3	442.45	1023.4	45.5	1.93	1.92	0.891	0.931	30.0	118.6	30.37	0.245879	0.166315	822.0	844.4		0.05	20.717	25.2	0.005657	0.00	0.00	21:32:44	2019-10-08					-0.001618	-0.000732	-0.00438		31.22		0.36	
12.000	3900	100.0	333.80	136.30	0.985	328.59	134.20	0.995	4.02	3.91	34.3227	251.83	0.00	0.00	0.00	0.00	0	0	0	0	-0.013723	20.23	20.36	18.84	19.00	13.84	80.05	99.90	62.2	89.8	87.8	81.00	0.686	3.93	98.9		200		5.43	15.0	27.4	511.00	1023.3	45.1	1.95	1.95	0.915	0.967	30.8	121.7	31.84	0.305050	0.215379	851.9	875.6		0.00	20.964	25.6	0.009798	0.00	0.00	21:34:44	2019-10-08					-0.001616	-0.000732	-0.00488		27.51		0.39	
13.000	4000	100.0	335.44	140.52	0.985	330.36	138.38	0.987	4.10	3.95	35.7050	254.09	0.00	0.00	0.00	0.00	0	0	0	0	-0.012214	19.72	20.00	18.81	19.00	13.83	80.05	99.90	62.8	89.0	87.2	80.40	0.675	3.93	98.8		200		5.43	15.0	27.5	527.43	1023.3	44.8	1.95	1.94	0.910	0.965	28.9	122.1	30.00	0.317471	0.223966	853.2	872.5		0.00	21.073	26.1	0.011802	0.00	0.00	21:36:44	2019-10-08					-0.000678	-0.000732	-0.00468		26.27		0.42	
14.000	4100	100.0	334.93	143.81	0.985	329.89	141.64	0.972	4.11	4.17	36.8591	256.31	0.00	0.00	0.00	0.00	0	0	0	0	-0.012039	19.83	20.00	18.83	19.00	13.80	80.05	99.90	63.0	88.6	86.6	80.00	0.665	3.91	98.6		200		5.42	15.0	27.5	539.28	1023.3	44.8	1.93	1.93	0.892	0.951	29.0	122.0	29.74	0.322940	0.230691	847.4	860.6		0.00	21.040	25.9	0.012917	0.00	0.00	21:38:44	2019-10-08					-0.000373	-0.000732	-0.00371		25.55		0.46	
15.000	4200	100.0	335.26	147.46	0.985	330.27	145.26	0.950	4.23	4.19	38.5689	261.60	0.00	0.00	0.00	0.00	0	0	0	0	-0.010323	19.77	20.00	18.86	19.00	13.82	80.05	99.90	63.2	88.5	86.6	80.00	0.667	3.89	98.8		200		5.41	15.0	27.6	556.15	1023.3	44.5	1.93	1.93	0.895	0.957	31.6	122.6	32.61	0.331413	0.237001	837.4	845.1		0.00	21.060	26.4	0.015162	0.00	0.00	21:40:44	2019-10-08					-0.000373	-0.000732	-0.00366		25.25		0.49	
16.000	4500	100.0	332.49	156.68	0.985	327.47	154.32	0.905	4.39	5.51	42.8670	273.58	0.00	0.00	0.00	0.00	0	0	0	0	-0.009334	20.44	20.50	18.77	18.97	13.73	80.05	99.90	63.7	87.8	86.0	80.00	0.672	3.83	99.1		200		5.38	15.0	27.6	598.41	1023.3	44.5	1.91	1.90	0.868	0.938	30.1	122.8	31.00	0.351907	0.252802	814.3	816.6		0.00	20.884	26.3	0.016109	0.00	0.00	21:42:44	2019-10-08					-0.000373	-0.000612	-0.00366		24.18		0.52	
17.000	4900	100.0	313.16	160.69	0.985	308.49	158.29	0.946	3.94	7.80	42.0582	261.74	0.00	0.00	0.00	0.00	0	0	0	0	-0.009878	21.31	21.50	17.88	18.00	13.77	80.05	99.90	64.3	87.7	85.9	80.00	0.691	3.78	99.4		200		5.39	15.0	27.6	595.80	1023.3	44.5	1.81	1.81	0.772	0.851	29.3	118.4	30.00	0.377909	0.267379	842.3	850.0		0.15	19.670	26.4	0.016019	0.00	0.00	21:44:44	2019-10-08					-0.000373	-0.000640	-0.00366		23.39		0.56	
18.000	5000	100.0	307.05	160.77	0.985	302.49	158.39	0.958	3.81	8.55	41.5754	258.62	0.00	0.00	0.00	0.00	0	0	0	0	-0.010117	21.85	22.00	17.84	18.00	13.77	80.05	99.90	64.6	87.9	86.1	80.00	0.700	3.77	100.0		200		5.39	15.0	27.6	592.90	1023.2	44.4	1.78	1.78	0.741	0.822	28.9	116.1	30.00	0.378459	0.269769	848.5	859.0		0.20	19.287	26.5	0.015632	0.00	0.00	21:46:44	2019-10-08					-0.000373	-0.000611	-0.00366		23.24		0.59	
19.000	5100	100.0	300.42	160.45	0.985	295.98	158.07	0.962	3.71	8.99	41.3611	257.78	0.00	0.00	0.00	0.00	0	0	0	0	-0.007887	22.53	23.00	17.70	18.00	13.80	80.05	99.90	64.8	87.9	86.1	80.00	0.706	3.76	100.4		200		5.39	15.0	27.7	593.39	1023.2	43.9	1.76	1.76	0.720	0.805	30.7	115.6	31.77	0.380449	0.270229	852.0	864.2		0.00	18.871	26.9	0.018491	0.00	0.00	21:48:44	2019-10-08					-0.000373	-0.000610	-0.00366		23.07		0.62	
20.000	5500	100.0	277.49	159.82	0.985	273.35	157.44	0.977	3.43	11.07	41.1234	257.32	0.00	0.00	0.00	0.00	0	0	0	0	-0.006982	24.59	25.00	17.75	18.00	13.77	80.05	99.90	65.3	87.4	85.7	80.00	0.721	3.74	101.1		200		5.39	15.0	27.7	602.57	1023.3	43.9	1.69	1.69	0.651	0.740	30.0	112.9	31.74	0.386973	0.276423	861.6	877.2		0.00	17.430	27.1	0.019925	0.00	0.00	21:50:44	2019-10-08					-0.000373	-0.000610	-0.00366		22.15		0.66	
21.000	5800	100.0	263.26	159.90	0.985	259.42	157.57	0.977	3.30	13.19	41.5143	259.65	0.00	0.00	0.00	0.00	0	0	0	0	-0.004717	29.26	29.53	17.86	18.00	13.78	80.05	99.90	65.6	87.2	85.6	80.00	0.734	3.71	101.5		200		5.39	15.0	27.8	607.34	1023.2	43.5	1.66	1.66	0.625	0.716	28.9	111.7	30.00	0.392392	0.281261	861.7	877.9		0.00	16.536	27.7	0.022772	0.00	0.00	21:52:44	2019-10-08					-0.000393	-0.000610	-0.00366		21.59		0.69	
22.000	6000	100.0	250.97	157.70	0.986	247.38	155.43	0.973	3.20	13.90	41.5402	263.43	0.00	0.00	0.00	0.00	0	0	0	0	-0.003304	32.61	32.97	18.30	18.50	13.76	80.05	99.90	65.9	87.1	85.5	80.00	0.744	3.70	102.0		200		5.39	15.0	27.9	601.56	1023.2	43.4	1.65	1.66	0.606	0.699	32.2	111.3	33.80	0.392455	0.280706	863.5	879.6		0.00	15.766	27.9	0.024078	0.00	0.00	21:54:44	2019-10-08					-0.000951	-0.000600	-0.00366		21.18		0.72	
23.000	6150	100.0	246.90	159.02	0.986	243.37	156.74	0.968	3.14	14.78	42.3275	266.20	0.00	0.00	-0.08	0.00	0	0	0	0	-0.003745	34.15	34.56	18.33	18.50	13.76	80.05	99.90	66.2	87.2	85.5	80.00	0.754	3.69	102.6		200		5.38	15.0	27.9	608.15	1023.2	43.7	1.64	1.64	0.607	0.700	29.9	112.3	31.83	0.400255	0.287948	864.2	878.7		0.10	15.509	27.8	0.023020	0.00	0.00	21:56:44	2019-10-08					-0.001618	-0.000610	-0.00372		20.96		0.76	
24.000	2000	19.6	49.99	10.47	0.986	49.28	10.32	1.018	0.70	22.48	2.9475	281.52	0.00	0.00	0.00	0.00	0	0	0	0	-0.005333	55.33	55.50	13.85	14.00	14.11	7.15	20.68	59.1	110.4	106.6	107.10	0.831	1.55	103.8		200		5.58	15.0	27.9	46.56	1023.1	44.2	1.03	0.82	0.003	0.005	20.4	57.8	32.71	0.015699	0.006228	534.5	690.9		0.24	3.139	27.4	0.020240	100.00	100.00	21:58:44	2019-10-08					-0.001618	-0.000610	-0.00457		51.25		0.79	
25.000	1001	0.0	0.00	-0.00	0.986	-0.01	-0.00	1.036	0.40	1.24	0.7024	45788.50	0.00	0.00	0.00	0.00	0	0	6	0	-0.010735	6.00	6.06	4.38	4.50	14.06	1.77	0.00	54.6	108.0	103.8	105.64	0.841	1.54	97.1		111		5.59	15.0	27.7	9.62	1023.1	44.8	1.03	0.81	0.002	0.001	21.5	58.9	36.00	0.006091	0.003960	354.0	493.4		0.34	-0.001	26.2	0.011766	100.00	100.00	22:00:44	2019-10-08					-0.001618	-0.000610	-0.00488		53.44		0.82	
26.000	1200	11.9	15.84	1.99	0.986	15.62	1.96	1.025	0.50	19.53	1.0645	534.82	0.00	0.00	0.00	0.00	0	0	0	0	-0.016057	19.46	19.57	6.38	6.50	14.10	2.64	9.38	52.6	109.9	105.8	107.88	0.870	1.54	97.2		127		5.60	15.0	27.7	15.00	1023.1	45.5	1.03	0.81	0.003	0.003	21.2	49.7	35.00	0.005307	0.005090	293.1	449.0		0.00	0.995	25.7	0.007085	100.00	100.00	22:02:44	2019-10-08					-0.001618	-0.000732	-0.00488		57.26		0.86	
27.000	1500	16.4	39.62	6.22	0.986	39.06	6.14	1.021	0.60	24.75	2.0226	324.79	0.00	0.00	0.00	0.00	0	0	0	0	-0.020388	53.63	54.00	15.72	15.94	14.11	4.89	16.07	53.1	110.2	106.5	107.00	0.942	1.54	98.8		191		5.58	15.0	27.6	30.61	1023.0	45.9	1.04	0.82	0.017	0.017	21.2	41.3	38.56	0.007219	0.004303	335.9	329.9		0.00	2.489	25.0	0.000047	100.00	100.00	22:04:44	2019-10-08					-0.001618	-0.000844	-0.00488		57.16		0.89	
28.000	2000	16.4	31.67	6.64	0.989	31.34	6.56	1.019	0.59	26.70	2.3726	357.52	0.00	0.00	0.00	0.00	0	0	0	0	-0.022152	55.28	55.53	13.37	13.53	14.08	5.57	16.00	54.8	110.4	106.9	107.92	1.012	1.53	98.6		160		5.59	15.0	28.4	34.81	1023.0	47.6	1.05	0.82	0.019	0.020	21.3	37.9	38.00	0.008639	0.004601	369.0	358.9		0.00	1.990	24.4	-0.002349	100.00	100.00	22:06:44	2019-10-08					-0.001618	-0.000854	-0.00488		55.66		0.92	
29.000	3000	19.0	47.38	14.89	0.986	46.70	14.67	1.013	0.70	24.57	4.7516	319.21	0.00	0.00	0.00	0.00	0	0	0	0	-0.020315	59.25	59.53	13.79	14.00	14.07	9.31	19.93	60.0	101.7	99.3	98.88	0.983	1.55	99.2		200		5.58	15.0	27.5	69.09	1023.0	45.8	1.12	0.82	0.090	0.093	21.6	40.2	30.28	0.016645	0.006657	499.9	491.9		0.00	2.976	25.3	-0.000780	100.00	100.00	22:08:44	2019-10-08					-0.001618	-0.000854	-0.00445		41.70		0.96	
30.000	1063	0.0	-1.13	-0.23	0.986	-1.25	-0.23	1.893	0.38	7.84	0.6285	29335.65	0.00	0.00	0.00	0.00	0	1	1	0	-0.021816	8.03	8.12	5.39	5.43	14.05	1.79	0.00	59.1	103.5	99.4	102.47	0.888	1.54	93.4		119		5.59	15.0	27.4	10.01	1023.0	46.0	1.03	0.82	0.005	0.004	22.0	38.8	33.45	0.005478	0.004070	390.7	476.0		0.00	-0.080	24.9	-0.001473	100.00	100.00	22:09:45	2019-10-08					-0.001618	-0.000854	-0.00381		44.27		0.97	
