AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
10.0	3000	50.0	211.75	66.52	0.987	209.05	65.68	13.301	236.06	15.7063	15.0	5.53	59.1	97.9	38.80	0.893	100.4	1.63	0.0610	48.4	26.3	0.014561	27.5	1019.3	0.00	-0.011595	742.1	764.8	**	**	-22.71	0.100586	0.057682	-0.001618	-0.000610	0	56.9	26.3	0.193	0.173	1.003			3000.7	65.14	46.90	11.58	2.40	-0.15	0.00	0.00	0.00	0	0	0	0	91.56	28.00	229.93	14.05	200	**	24.63	0.00	0.00	34.08	34.50	11.47	11.85	**	**	1.19	1.20	0.00	0.00	1.00	**	**			**	**	**	-0.00488	**	0.00	10:49:36	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		94.9	0.8233	45.7	**	32.49	32.54	0.0	
11.0	4600	50.0	205.68	99.09	0.988	203.26	97.91	12.921	243.19	24.0933	15.0	5.50	61.0	95.5	34.54	0.949	102.1	3.84	0.0598	48.6	26.5	0.013493	27.5	1019.2	0.00	-0.033859	790.6	806.5	**	**	-15.87	0.176636	0.103697	-0.001618	-0.000610	0	67.9	29.0	0.324	0.283	1.002			4599.2	65.14	49.28	17.25	2.40	0.00	0.00	0.00	0.00	0	0	0	0	89.00	30.00	357.28	13.94	200	**	28.67	0.00	0.00	47.23	47.50	14.73	15.00	**	**	1.29	1.31	0.00	0.00	1.00	**	**			**	**	**	-0.00488	**	0.00	10:51:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		93.0	1.9221	45.8	**	32.61	32.75	0.0	
12.0	3100	50.0	210.62	68.38	0.988	208.02	67.53	13.230	237.97	16.2691	15.0	5.53	59.2	99.1	39.90	0.924	103.3	3.55	0.0610	47.5	26.5	0.014946	27.6	1019.2	0.00	-0.012367	744.1	764.4	**	**	-20.30	0.101868	0.059476	-0.001618	-0.000610	0	57.4	30.0	0.202	0.180	1.002			3099.9	65.14	51.75	11.62	2.42	0.00	0.00	0.00	0.00	0	0	0	0	93.00	31.00	238.39	14.04	200	**	23.86	0.00	0.00	34.66	35.00	10.77	11.00	**	**	1.20	1.21	0.00	0.00	1.00	**	**			**	**	**	-0.00488	**	0.00	10:53:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		96.2	0.8994	46.6	**	32.67	32.70	0.0	
13.0	4500	50.0	209.36	98.65	0.987	206.64	97.38	13.150	242.30	23.9063	15.0	5.50	61.1	94.4	33.30	0.928	101.6	3.85	0.0623	48.3	26.2	0.015476	27.7	1019.2	0.00	-0.033164	789.4	803.9	**	**	-14.48	0.177063	0.106304	-0.001618	-0.000610	0	67.3	30.0	0.325	0.285	1.000			4500.7	65.14	50.22	16.50	2.49	0.00	0.00	0.00	0.00	0	0	0	0	87.51	31.64	358.00	13.94	200	**	28.61	0.00	0.00	45.31	45.50	14.73	15.00	**	**	1.30	1.31	0.00	0.00	1.00	**	**			**	**	**	-0.00488	**	0.00	10:55:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33328		92.1	1.8119	46.6	**	32.75	32.90	0.0	
14.0	3200	50.0	210.64	70.58	0.988	208.20	69.77	13.231	238.56	16.8349	15.0	5.52	59.0	98.5	39.57	0.911	102.7	3.65	0.0635	48.3	26.6	0.017530	27.9	1019.2	0.00	-0.013808	747.2	768.1	**	**	-20.95	0.107422	0.059802	-0.001618	-0.000610	0	58.2	27.0	0.212	0.189	1.001			3199.9	65.14	45.11	12.07	2.40	0.00	0.00	0.00	0.00	0	0	0	0	92.00	28.30	245.62	14.04	200	**	24.29	0.00	0.00	35.55	36.00	9.89	10.00	**	**	1.20	1.21	0.00	0.00	1.00	**	**			**	**	**	-0.00367	**	0.00	10:57:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		95.7	1.0783	47.3	**	32.84	32.87	0.0	
15.0	4400	50.0	209.20	96.41	0.987	206.55	95.17	13.143	241.55	23.2861	15.0	5.50	60.8	95.1	34.26	0.926	101.5	3.84	0.0623	48.6	26.2	0.016500	27.9	1019.2	0.00	-0.031341	786.9	801.8	**	**	-14.91	0.167664	0.098109	-0.001618	-0.000610	0	66.9	29.2	0.318	0.279	1.001			4400.0	65.14	49.19	16.28	2.42	0.00	0.00	0.00	0.00	0	0	0	0	88.08	30.46	346.74	13.96	200	**	28.21	0.00	0.00	44.83	45.05	14.81	15.00	**	**	1.29	1.31	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	10:59:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		92.6	1.2848	47.2	**	32.93	33.07	0.0	
16.0	3300	50.0	211.80	73.20	0.988	209.23	72.31	13.305	237.10	17.3575	15.0	5.52	59.4	96.4	37.07	0.886	101.9	3.83	0.0613	48.6	26.4	0.016476	27.8	1019.2	0.00	-0.013128	755.3	772.9	**	**	-17.71	0.113403	0.066178	-0.001602	-0.000610	0	62.1	30.7	0.261	0.237	1.001			3300.9	65.14	57.35	11.63	2.40	0.00	0.00	0.00	0.00	0	0	0	0	89.80	32.00	257.64	14.03	200	**	24.58	0.00	0.00	40.34	40.50	14.86	15.00	**	**	1.26	1.26	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	11:01:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		93.7	0.8690	47.7	**	32.96	33.06	0.0	
17.0	4300	50.0	209.64	94.41	0.989	207.29	93.34	13.169	240.86	22.7385	15.0	5.50	60.6	94.6	33.96	0.906	100.8	3.85	0.0614	48.2	26.7	0.015583	28.2	1019.2	0.00	-0.029663	785.3	800.6	**	**	-15.32	0.162964	0.094326	-0.000944	-0.000610	0	66.6	28.1	0.312	0.275	1.000			4300.5	65.14	45.55	16.11	2.43	0.00	0.00	0.00	0.00	0	0	0	0	88.00	29.70	342.82	13.93	200	**	27.89	0.00	0.00	44.61	45.00	14.83	15.00	**	**	1.28	1.30	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.00	11:03:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		92.0	1.4209	47.6	**	33.05	33.23	0.0	
18.0	3400	50.0	213.11	75.88	0.987	210.34	74.89	13.386	237.04	17.9830	15.0	5.52	59.4	96.5	37.11	0.888	101.9	3.92	0.0635	48.3	26.2	0.016422	27.7	1019.2	0.00	-0.015193	759.0	776.0	**	**	-16.97	0.115967	0.066717	-0.000373	-0.000610	0	62.1	29.6	0.262	0.236	1.001			3399.7	65.14	57.52	12.23	2.43	0.00	0.00	0.00	0.00	0	0	0	0	90.00	30.97	265.67	14.04	200	**	25.06	0.00	0.00	40.85	41.00	14.93	15.00	**	**	1.26	1.26	0.00	0.00	1.00	**	**			**	**	**	-0.00367	**	0.00	11:05:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		93.9	0.6751	47.9	**	33.12	33.25	0.0	
19.0	4200	50.0	209.84	92.30	0.989	207.46	91.25	13.182	239.88	22.1388	15.0	5.50	60.5	95.5	35.00	0.913	101.2	3.85	0.0638	47.9	26.7	0.017212	28.5	1019.2	0.00	-0.028107	783.0	799.9	**	**	-16.91	0.157837	0.091249	-0.000385	-0.000610	0	66.0	30.6	0.305	0.269	1.001			4199.3	65.14	45.37	16.08	2.40	0.00	0.00	0.00	0.00	0	0	0	0	89.00	31.74	330.10	13.98	200	**	27.46	0.00	0.00	44.15	44.50	14.79	15.00	**	**	1.27	1.30	0.00	0.00	1.00	**	**			**	**	**	-0.00370	**	0.00	11:07:56	2019-09-28	**	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33327		92.8	1.3694	47.9	**	33.24	33.42	0.0	
