AVL_INDEP_TIME	SPEED_A	ALPHA	TORQUE_A	POWER	REDFAC	TORQUE_C	POWER_C	P_EFF_ME	BH	FUELCOSP	T_FUEL	P_FUEL	TWI	TWO	TWD	P_AGB	T_OIL	P_OILOF	P_OILCH	PHI	T_INTAKE	P_INTAKE	T_AIR	P_AIR	BLOWBY	P_CRANK	T_EXH_1	T_EXH_2	T_EXH_3	T_EXH_4	T_EXH_D	P_EXH_1	P_EXH_2	P_EXH_3	P_EXH_4	P_EXH_D	TLLKV	TLLKN	PLLKV	PLLKN	LAMBDA	VOL_BAT	AIRCONS	nmot	wped	ThrPos	zwout	InjTim	Knock1	Knock2	Knock3	Knock4	Misfir1	Misfir2	Misfir3	Misfir4	tmot	tans	AirFlow	ECU_u	prist	pristD	FuelCon	lamsoni	lamsbg	InCamA	InCamC	ExCamA	ExCamC	WGA_A	WGA_C	BoostP	BoostD	FlapPosA	FlapPosD	LambdaD	load	Airpress	dA_Alarm	CP_alarm	T_OILOF	T_EXH_5	T_EXH_6	P_EXH_5	P_EXH_6	RunningTime	TIME	DATE	Cycler	lamsoni_w	pans	PC_CoDc	PC_CoDc2	prist_A	TIC_dem	TW_DEM	EE_MEA01	EE_MEA02	EE_MEA03	EE_MEA04	EE_MEA05	EE_MEA06	EE_MEA07	EE_MEA08	EE_MEA09	EE_MEA10	EE_MEA11	EE_MEA12	EE_MEA13	ATL_Speed	T_B1	TWO2	V_D1	T_B1	T_B2	T_DB1	T_DB2	STWATCH1	
	rpm	%	Nm	kW	-	Nm	kW	bar	g/kW.h	kg/h	Cel	bar	Cel	Cel	Cel	bar	Cel	bar	bar	%	Cel	bar	Cel	mbar	l/min	bar	Cel	Cel	Cel	Cel	Cel	bar	bar	bar	bar	bar	Cel	Cel	bar	bar	-			rpm	%	%	degree	ms	degree	degree	degree	degree	-	-	-	-	Cel	Cel	kg/h	V	-	-	l/h	-	-	degree	degree	degree	degree	%	%	mbar	mbar	%	%	-	-	-			Cel	-	-	bar	bar	s	hhmmss	yyyymmdd	-	-	-	p/cm3	p/cm3	-	-	Cel	-	-	-	-	-	-	-	-	-	-	-	-	-	-		Cel	-	Cel	Cel	Cel	Cel	s	
1.000	2000	19.5	50.01	10.47	0.985	49.24	10.31	3.141	301.95	3.1613	15.0	5.59	59.8	110.5	50.72	0.995	97.7	1.53	-0.0122	46.7	27.2	-0.006510	23.8	1023.2	0.10	-0.024643	466.1	562.6	**	**	-96.83	0.011015	0.004064	-0.001060	-0.000977	0	35.4	20.9	0.002	0.002	1.017			1999.9	20.54	7.10	22.54	0.70	0.00	0.00	0.00	0.00	0	0	0	0	107.00	29.10	46.00	14.09	200	**	6.38	0.00	0.00	55.32	55.50	13.84	14.00	**	**	0.82	1.03	100.00	100.00	1.01	**	**			**	**	**	-0.00366	**	0.02	21:12:45	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		106.8	**	36.7	**	39.78	40.19	114.3	
2.000	1000	100.0	194.40	20.36	0.992	192.85	20.19	12.210	271.39	5.5229	15.0	5.58	59.6	103.2	43.56	0.931	91.7	1.61	-0.0134	51.6	28.8	-0.008981	23.4	1023.2	0.05	-0.025742	535.1	591.0	**	**	-55.80	0.030100	0.018629	-0.001149	-0.000977	0	47.5	21.5	0.187	0.183	1.003			1000.1	99.90	52.45	-4.29	2.64	0.00	0.00	0.00	0.00	0	0	0	0	96.00	24.00	81.32	13.99	200	**	7.01	0.00	0.00	43.33	43.50	24.11	23.91	**	**	1.26	1.21	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.06	21:14:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		99.1	**	36.2	**	39.63	39.96	233.5	
3.000	1400	100.0	271.34	39.78	0.984	267.03	39.15	17.043	267.35	10.6349	15.0	5.56	60.6	99.6	39.06	0.880	97.3	1.79	-0.0110	47.4	26.9	-0.004454	24.5	1023.2	0.10	-0.023323	643.2	694.4	**	**	-51.12	0.059267	0.020985	-0.001115	-0.000905	0	81.5	23.7	0.553	0.544	0.994			1401.4	99.90	59.44	-3.74	3.60	0.00	0.00	0.00	0.00	0	0	0	0	91.00	25.00	157.02	14.00	200	**	12.17	0.00	0.00	38.19	38.00	22.86	23.00	**	**	1.63	1.57	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.09	21:16:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33335		96.2	**	35.8	**	39.54	39.81	353.5	
4.000	1500	100.0	292.69	45.99	0.984	288.02	45.24	18.389	266.79	12.2684	15.0	5.55	60.3	100.4	40.11	0.810	98.4	1.92	-0.0130	47.2	26.8	-0.006607	23.2	1023.2	0.05	-0.024569	680.9	729.2	**	**	-48.27	0.069089	0.025901	-0.001157	-0.000854	0	97.2	26.7	0.695	0.684	0.993			1504.0	99.90	60.86	-3.25	3.85	0.00	0.00	0.00	0.00	0	0	0	0	91.73	27.22	185.31	13.98	200	**	15.27	0.00	0.00	36.25	36.52	22.50	22.58	**	**	1.79	1.71	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.12	21:18:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		96.8	**	35.6	**	39.40	39.65	473.5	
5.000	1600	100.0	320.10	53.63	0.992	317.53	53.20	20.104	261.42	14.0176	15.0	5.54	60.7	99.3	38.62	0.764	98.9	2.06	-0.0113	50.3	29.0	-0.005371	24.2	1023.3	0.05	-0.022832	696.3	742.7	**	**	-46.41	0.081348	0.033306	-0.001142	-0.000854	0	113.7	30.2	0.852	0.841	0.996			1604.1	99.90	63.42	-3.58	4.11	0.00	-0.18	-0.08	0.00	0	0	0	0	89.97	30.08	212.04	14.02	200	**	17.64	0.00	0.00	33.92	33.99	21.53	21.50	**	**	1.87	1.87	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.16	21:20:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		95.9	**	35.6	**	39.25	39.48	593.5	
6.000	1700	100.0	325.09	57.88	0.984	319.96	56.96	20.423	255.78	14.8053	15.0	5.54	60.6	99.2	38.54	0.751	99.7	2.20	-0.0098	46.4	27.0	-0.002172	24.3	1023.2	0.00	-0.020907	703.2	747.3	**	**	-44.16	0.085943	0.037633	-0.001231	-0.000854	0	117.0	27.4	0.863	0.852	0.999			1702.1	99.90	65.95	-2.34	4.10	-0.01	-0.12	-0.06	0.00	0	0	0	0	89.51	28.61	219.62	14.02	200	**	19.06	0.00	0.00	30.77	31.00	20.74	20.46	**	**	1.88	1.88	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.19	21:22:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		95.8	**	36.0	**	39.14	39.34	713.6	
7.000	1800	100.0	330.72	62.35	0.984	325.50	61.35	20.777	254.03	15.8366	15.0	5.54	60.2	99.0	38.74	0.744	99.8	2.35	-0.0110	46.5	27.0	-0.004447	23.8	1023.2	0.00	-0.021955	715.1	754.1	**	**	-39.01	0.088939	0.042647	-0.001261	-0.000854	0	119.6	29.4	0.916	0.903	1.001			1799.4	99.90	68.47	-2.37	4.14	0.00	0.00	0.00	0.00	0	0	0	0	89.00	29.62	232.88	13.99	200	**	20.35	0.00	0.00	28.92	29.00	18.71	18.80	**	**	1.93	1.93	0.00	0.00	0.99	**	**			**	**	**	-0.00366	**	0.22	21:24:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		95.8	**	36.1	**	38.95	39.21	833.5	
8.000	2000	100.0	330.78	69.28	0.992	328.30	68.76	20.779	250.81	17.3762	15.0	5.53	60.2	99.7	39.53	0.769	100.3	2.66	-0.0095	49.8	29.1	-0.002563	24.7	1023.3	0.00	-0.019550	733.5	767.0	**	**	-33.42	0.106289	0.056528	-0.001435	-0.000854	0	119.6	29.4	0.915	0.901	1.001			1999.1	99.90	71.80	-1.14	4.10	0.00	0.00	0.00	0.00	0	0	0	0	90.25	29.91	253.84	14.01	200	**	22.19	0.00	0.00	25.52	25.75	14.71	14.85	**	**	1.93	1.93	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.26	21:26:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		96.6	**	36.6	**	38.79	39.08	953.6	
9.000	2500	100.0	331.74	86.84	0.985	326.60	85.50	20.836	251.23	21.8175	15.0	5.50	61.0	96.9	35.97	0.765	101.1	3.40	-0.0062	45.7	27.3	0.003445	25.3	1023.3	0.00	-0.016360	773.0	803.0	**	**	-29.93	0.159203	0.091111	-0.001589	-0.000780	0	116.5	29.6	0.903	0.881	0.999			2499.7	99.90	71.80	0.75	4.02	0.00	0.00	0.00	0.00	0	0	0	0	87.52	29.73	316.00	13.94	200	**	26.67	0.00	0.00	23.85	24.00	11.76	12.00	**	**	1.91	1.91	0.00	0.00	1.00	**	**			**	**	**	-0.00366	**	0.29	21:28:44	2019-10-08	3	**	**	**	**	**	30.00	60.0	**	**	**	**	**	**	**	**	**	**	**	**	**	-33336		94.5	**	37.4	**	38.76	38.99	1074.0	
